 FINAL RESULT:
   1.6292960326397230        7.5735639473686011E-004  0.14088044181299178     
   1.6826740610704674        8.0780730744875971E-004  0.14549534098635847     
   1.7378008287493762        8.6161809738760501E-004  0.15026137361094122     
   1.7947336268325265        9.1901235099028911E-004  0.15518348503363841     
   1.8535316234148125        9.8022850531844603E-004  0.16026678199031108     
   1.9142559250210860        1.0455208301334471E-003  0.16551653782761916     
   1.9769696401118619        1.1151604742841859E-003  0.17093819788911890     
   2.0417379446695296        1.1894365805285450E-003  0.17653738507028652     
   2.1086281499332888        1.2686574731608136E-003  0.18231990554722974     
   2.1777097723531593        1.3531519230818845E-003  0.18829175468390857     
   2.2490546058357803        1.4432704952278658E-003  0.19445912312276770     
   2.3227367963571073        1.5393869835658061E-003  0.20082840306374322     
   2.3988329190194899        1.6418999391730326E-003  0.20740619473665164     
   2.4774220576332864        1.7512342972398221E-003  0.21419931307203197     
   2.5585858869056453        1.8678431091734445E-003  0.22121479457552820     
   2.6424087573219475        1.9922093863360591E-003  0.22845990441093969     
   2.7289777828080406        2.1248480623188358E-003  0.23594214369706257     
   2.8183829312644550        2.2663080810408419E-003  0.24366925702345094     
   2.9107171180666049        2.4171746183629422E-003  0.25164924019019336     
   3.0060763026282320        2.5780714453245953E-003  0.25989034817677087     
   3.1045595881283554        2.7496634415441418E-003  0.26840110334497730     
   3.2062693245054672        2.9326592677707758E-003  0.27719030388082438     
   3.3113112148259112        3.1278142070377741E-003  0.28626703248020552     
   3.4197944251370904        3.3359331843413318E-003  0.29564066528297112     
   3.5318316979195701        3.5578739752551449E-003  0.30532088105987842     
   3.6475394692560767        3.7945506143875003E-003  0.31531767065666860     
   3.7670379898390891        4.0469370150917009E-003  0.32564134669926037     
   3.8904514499428049        4.3160708123510371E-003  0.33630255356376204     
   4.0179081084893999        4.6030574412724975E-003  0.34731227761465594     
   4.1495404263436280        4.9090744641362757E-003  0.35868185771409605     
   4.2854852039743960        5.2353761594570690E-003  0.37042299600483453     
   4.4258837236262645        5.5832983870129308E-003  0.38254776896875020     
   4.5708818961487516        5.9542637432849713E-003  0.39506863876240472     
   4.7206304126359049        6.3497870222181917E-003  0.40799846483038038     
   4.8752849010338650        6.7714809966564395E-003  0.42135051579646404     
   5.0350060878790472        7.2210625362136138E-003  0.43513848163192898     
   5.1999599653351618        7.7003590777129580E-003  0.44937648609932540     
   5.3703179637025267        8.2113154646457093E-003  0.46407909946921461     
   5.5462571295791099        8.7560011723629514E-003  0.47926135150628879     
   5.7279603098582923        9.3366179359062398E-003  0.49493874472017896     
   5.9156163417547427        9.9555077974982763E-003  0.51112726787510254     
   6.1094202490557210        1.0615161590735441E-002  0.52784340975121691     
   6.3095734448019360        1.1318227878446515E-002  0.54510417314922976     
   6.5162839406084281        1.2067522360985222E-002  0.56292708912844958     
   6.7297665628431753        1.2866037771403611E-002  0.58133023146696516     
   6.9502431758879695        1.3716954273490413E-002  0.60033223133127323     
   7.1779429127136147        1.4623650378046117E-002  0.61995229214108338     
   7.4131024130091774        1.5589714391991829E-002  0.64021020461365452     
   7.6559660691125613        1.6618956413960571E-002  0.66112636197052455     
   7.9067862799982533        1.7715420888896660E-002  0.68272177528818800     
   8.1658237135859224        1.8883399732876824E-002  0.70501808897299623     
   8.4333475776427562        2.0127446037875613E-002  0.72803759633951670     
   8.7096358995608050        2.1452388364519584E-002  0.75180325527071101     
   8.9949758153003554        2.2863345629029665E-002  0.77633870393770954     
   9.2896638677993622        2.4365742588544563E-002  0.80166827655671102     
   9.5940063151593353        2.5965325926881846E-002  0.82781701916071593     
   9.9083194489276760        2.7668180940553799E-002  0.85481070536442538     
   10.232929922807546        2.9480748822562991E-002  0.88267585210188548     
   10.568175092136585        3.1409844539205430E-002  0.91143973531826061     
   10.914403364487571        3.3462675292887899E-002  0.94113040559973382     
   11.271974561755105        3.5646859561894347E-002  0.97177670372884661     
   11.641260294104921        3.7970446706228740E-002   1.0034082761568639     
   12.022644346174131        4.0441937127225602E-002   1.0360555903897886     
   12.416523075924106        4.3070302967707225E-002   1.0697499502908281     
   12.823305826560219        4.5865009339221864E-002   1.1045235113091072     
   13.243415351946643        4.8836036063509988E-002   1.1404092956524199     
   13.677288255958494        5.1993899916999750E-002   1.1774412074308300     
   14.125375446227540        5.5349677370041324E-002   1.2156540478076703     
   14.588142602753489        5.8915027816979937E-002   1.2550835302050571     
   15.066070661867418        6.2702217299256888E-002   1.2957662956221991     
   15.559656316050750        6.6724142731764316E-002   1.3377399281362663     
   16.069412530128773        7.0994356652869531E-002   1.3810429706671901     
   16.595869074375614        7.5527092531101236E-002   1.4257149410992946     
   17.139573075084254        8.0337290676612785E-002   1.4717963488633379     
   17.701089583174220        8.5440624823376055E-002   1.5193287120925489     
   18.281002161427427        9.0853529468692157E-002   1.5683545754744663     
   18.879913490962945        9.6593228080065208E-002   1.6189175289268161     
   19.498445997580454       0.10267776230572871        1.6710622272293860     
   20.137242498623895       0.10912602235398644        1.7248344107445186     
   20.796966871036961       0.11595777873779041        1.7802809273557738     
   21.478304741305330       0.12319371561426955        1.8374497557469809     
   22.181964198002195       0.13085546598375966        1.8963900301317207     
   22.908676527677724       0.13896564904868688        1.9571520665259781     
   23.659196974857590       0.14754791006871776        2.0197873906337338     
   24.434305526939713       0.15662696308410123        2.0843487673863725     
   25.234807724805755       0.16622863691325954        2.1508902321422552     
   26.061535499988949       0.17637992486245818        2.2194671235118899     
   26.915348039269166       0.18710903861395042        2.2901361177282427     
   27.797132677592884       0.19844546678335634        2.3629552644298086     
   28.707805820246922       0.21042003865646602        2.4379840236683381     
   29.648313895243422       0.22306499362932128        2.5152833038926086     
   30.619634336906788       0.23641405688287220        2.5949155005968572     
   31.622776601683793       0.25050252182421223        2.6769445352570971     
   32.658783217233598       0.26536733982031835        2.7614358941124024     
   33.728730865886888       0.28104721773728608        2.8484566662819599     
   34.833731503601200       0.29758272377863926        2.9380755806435839     
   35.974933515574236       0.31501640209079462        3.0303630408357511     
   37.153522909717282       0.33339289657296095        3.1253911576846884     
   38.370724549227880       0.35275908429333036        3.2232337783000009     
   39.627803425543931       0.37316421887448092        3.3239665110281491     
   40.926065973001094       0.39466008416918053        3.4276667454018090     
   42.266861426560283       0.41730115850440602        3.5344136661752903     
   43.651583224016612       0.44114478972703353        3.6442882604906446     
   45.081670454146007       0.46625138124004240        3.7573733171753831     
   46.558609352295910       0.49268458917372243        3.8737534171299619     
   48.083934844972845       0.52051153079234314        3.9935149137198258     
   49.659232145033627       0.54980300419314609        4.1167459020423021     
   51.286138399136483       0.58063371931075647        4.2435361758909176     
   52.966344389165805       0.61308254019572361        4.3739771711884110     
   54.701596289397159       0.64723273848957674        4.5081618946028605     
   56.493697481230285       0.68317225796962311        4.6461848359985929     
   58.344510427374480       0.72099398998270336        4.7881418633033759     
   60.255958607435808       0.76079605952687435        4.9341300982959568     
   62.230028516915951       0.80268212167108255        5.0842477717318868     
   64.268771731702003       0.84676166792346197        5.2385940561317188     
   66.374307040190899       0.89315034206613131        5.3972688744530943     
   68.548822645266199       0.94197026486616620        5.5603726827584241     
   70.794578438413808       0.99335036694559165        5.7280062248727210     
   73.113908348341724        1.0474267289453718        5.9002702569033794     
   75.509222766543417        1.1043429279461878        6.0772652393664615     
   77.983011052325850        1.1642503889093658        6.2590909945342581     
   80.537844119906680        1.2273087396715208        6.4458463264894794     
   83.176377110267083        1.2936861677627154        6.6376286012441623     
   85.901352150539608        1.3635597770174956        6.8345332841614388     
   88.715601203796083        1.4371159416070027        7.0366534318081015     
   91.622049012200009        1.5145506547358825        7.2440791352722114     
   94.623716136579304        1.5960698688162842        7.4568969119070543     
   97.723722095581110        1.6818898234505066        7.6751890424193441     
   100.92528860766855        1.7722373570208236        7.8990328502111122     
   104.23174293933036        1.8673501970985955        8.1284999199236339     
   107.64652136298349        1.9674772242432290        8.3636552522251293     
   111.17317272815920        2.0728787030655265        8.6045563520455115     
   114.81536214968841        2.1838264736807997        8.8512522477040925     
   118.57687481671597        2.3006040958778740        9.1037824387128001     
   122.46161992650489        2.4235069374863309        9.3621757704847735     
   126.47363474711523        2.5528421975437210        9.6264492347523198     
   130.61708881318404        2.6889288539580232        9.8966066952160858     
   134.89628825916532        2.8320975244422346        10.172637538827447     
   139.31568029453035        2.9826902285857178        10.454515254164519     
   143.87985782558465        3.1410600380437921        10.742195939619920     
   148.59356422870059        3.3075706009988899        11.035616745586417     
   153.46169827992941        3.4825955263068971        11.334694256524706     
   158.48931924611142        3.6665176121274290        11.639322820732200     
   163.68165214278102        3.8597279033910055        11.949372837813913     
   169.04409316432631        4.0626245622265751        12.264689016285471     
   174.58221529205039        4.2756115355151456        12.585088616410705     
   180.30177408595699        4.4990970041066420        12.910359696277135     
   186.20871366628694        4.7334915990020630        13.240259382221064     
   192.30917289101575        4.9792063710256009        13.574512187989951     
   198.60949173573715        5.2366505022599661        13.912808410429024     
   205.11621788255667        5.5062287498572768        14.254802632931650     
   211.83611352485045        5.7883386158313543        14.600112371321714     
   218.77616239495518        6.0833672401370400        14.948316900136293     
   225.94357702209783        6.3916880187947385        15.298956300332778     
   233.34580622810046        6.7136569540480417        15.651530772116651     
   240.99054286865930        7.0496087495582360        16.005500258719280     
   248.88573182823905        7.3998526704175749        16.360284428378616     
   257.03957827688646        7.7646681952535603        16.715263062305745     
   265.46055619755418        8.1443004958064087        17.069776895870916     
   274.15741719278810        8.5389557879579741        17.423128958419053     
   283.13919957993789        8.9487966070925395        17.774586453855981     
   292.41523778433367        9.3739370696489885        18.123383219263772     
   301.99517204020191        9.8144381915025196        18.468722792187233     
   311.88895840939352        10.270303342066232        18.809782108794664     
   322.10687912834345        10.741473920368687        19.145715844834207     
   332.65955329400470        11.227825345443176        19.475661399226158     
   343.55794789987499        11.729163457754485        19.798744506386605     
   354.81338923357532        12.245221430673354        20.114085448186749     
   366.43757464783334        12.775657290806462        20.420805820144512     
   378.44258471709355        13.320052142958479        20.718035789433586     
   390.84089579240248        13.877909189375798        21.004921765106992     
   403.64539296760483        14.448653623530525        21.280634384151888     
   416.86938347033549        15.031633466000944        21.544376701292588     
   430.52661049171098        15.626121394087360        21.795392456526574     
   444.63126746910837        16.231317597923500        22.032974282918371     
   459.19801283686854        16.846353674416662        22.256471708851105     
   474.24198526024480        17.470297546949510        22.465298804334445     
   489.77881936844665        18.102159374124135        22.658941320568903     
   505.82466200311376        18.740898385754438        22.836963176083206     
   522.39618899911977        19.385430559744488        22.999012151540896     
   539.51062251512792        20.034637030380004        23.144824668674417     
   557.18574893193045        20.687373097855108        23.274229546472739     
   575.43993733715661        21.342477691437459        23.387150649216931     
   594.29215861557270        21.998783125301884        23.483608365536838     
   613.76200516479457        22.655124977333493        23.563719884490148     
   633.86971125692764        23.310351917515799        23.627698262764323     
   654.63617406727474        23.963335314036282        23.675850305423346     
   676.08297539198190        24.612978451904397        23.708573310101251     
   698.23240407717185        25.258225210368639        23.726350750173580     
   721.10747918290053        25.898068061235058        23.729746995293826     
   744.73197390598887        26.531555269620192        23.719401187004792     
   769.13044028660988        27.157797200887646        23.696020402336899     
   794.32823472428220        27.775971661591718        23.660372249014316     
   820.35154432981767        28.385328227224850        23.613277041943117     
   847.22741414059635        28.985191534497911        23.555599712111626     
   874.98377522743635        29.574963539895457        23.488241596133193     
   903.64947372230233        30.154124768574430        23.412132247827540     
   933.25430079699049        30.722234597672383        23.328221403008342     
   963.82902362397056        31.278930635283821        23.237471215666332     
   995.40541735152749        31.823927270426381        23.140848868694079     
   1028.0162981264746        32.357013480095141        23.039319645895485     
   1061.6955571987241        32.878049986982404        22.933840534937232     
   1096.4781961431852        33.386965865740372        22.825354413756607     
   1132.4003632355577        33.883754697018034        22.714784856294276     
   1169.4993910198723        34.368470367223949        22.603031577729073     
   1207.8138351067798        34.841222608416992        22.490966525023047     
   1247.3835142429432        35.302172367321241        22.379430605797495     
   1288.2495516931349        35.751527085599236        22.269231037527355     
   1330.4544179780901        36.189535965610617        22.161139289838044     
   1374.0419750125150        36.616485287304165        22.055889585321466     
   1419.0575216890927        37.032693832980932        21.954177918694597     
   1465.5478409559128        37.438508467726997        21.856661550193706     
   1513.5612484362073        37.834299914582417        21.763958926681681     
   1563.1476426409538        38.220458755207744        21.676649982872743     
   1614.3585568264868        38.597391679057850        21.595276775161700     
   1667.2472125510644        38.965517997006160        21.520344401593949     
   1721.8685749860060        39.325266429029455        21.452322163343425     
   1778.2794100389228        39.677072170006966        21.391644925501193     
   1836.5383433483473        40.021374232908869        21.338714637857287     
   1896.7059212111483        40.358613064626709        21.293901979539065     
   1958.8446735059890        40.689228426397470        21.257548094723138     
   2023.0191786782718        41.013657528142680        21.229966390061563     
   2089.2961308540407        41.332333404023302        21.211444367863770     
   2157.7444091526690        41.645683515041931        21.202245472389027     
   2228.4351492703031        41.954128563532088        21.202610929768905     
   2301.4418174085090        42.258081503804753        21.212761565061033     
   2376.8402866248784        42.557946733002986        21.232899582701997     
   2454.7089156850284        42.854119446295854        21.263210299164143     
   2535.1286304979071        43.146985140861823        21.303863818918380     
   2618.1830082189863        43.436919253621845        21.355016646862026     
   2703.9583641088461        43.724286918344859        21.416813232192297     
   2792.5438412373364        44.009442828514764        21.489387440298962     
   2884.0315031266059        44.292731193191301        21.572863950628626     
   2978.5164294291912        44.574485773989451        21.667359579649577     
   3076.0968147407111        44.855029992213261        21.772984529038087     
   3176.8740706497692        45.134677096094606        21.889843560028606     
   3280.9529311311903        45.413730378989918        22.018037095539579     
   3388.4415613920273        45.692483440258457        22.157662252220735     
   3499.4516702835767        45.971220481386133        22.308813804979717     
   3614.0986263961313        46.250216630707783        22.471585086855388     
   3732.5015779572063        46.529738290826309        22.646068827322406     
   3854.7835766577209        46.810043503516418        22.832357932252972     
   3981.0717055349774        47.091382327538390        23.030546208837347     
   4111.4972110452209        47.373997225370147        23.240729038787169     
   4246.1956394631297        47.658123455396492        23.463004003123668     
   4385.3069777498604        47.943989466573015        23.697471461794770     
   4528.9757990362041        48.231817293014281        23.944235091280500     
   4677.3514128719808        48.521822946340130        24.203402383238338     
   4830.5880203977285        48.814216803957557        24.475085107116115     
   4988.8448746001268        49.109203991757497        24.759399739525541     
   5152.2864458175618        49.406984759973618        25.056467863024459     
   5321.0825926679418        49.707754851183900        25.366416536807222     
   5495.4087385762487        50.011705859634574        25.689378641650400     
   5675.4460540854770        50.319025581243352        26.025493201307551     
   5861.3816451402845        50.629898353782288        26.374905682395180     
   6053.4087475391361        50.944505386862723        26.737768274661416     
   6251.7269277568621        51.263025081442628        27.114240153383133     
   6456.5422903465624        51.585633338652293        27.504487725496034     
   6668.0676921362183        51.912503857785502        27.908684860927615     
   6886.5229634427624        52.243808423341555        28.327013110476788     
   7112.1351365332957        52.579717181010189        28.759661911466189     
   7345.1386815711585        52.920398902494000        29.206828782288493     
   7585.7757502918357        53.266021239034018        29.668719506874307     
   7834.2964276621196        53.616750963468981        30.145548310031792     
   8090.9589917838293        53.972754200601720        30.637538024544963     
   8356.0301823124737        54.334196645580775        31.144920250876165     
   8629.7854776697022        54.701243769922392        31.667935510291077     
   8912.5093813374588        55.074061014710139        32.206833392224127     
   9204.4957175317213        55.452813970411697        32.761872696719934     
   9506.0479365628089        55.837668542648437        33.333321572829348     
   9817.4794301998445        56.228791103150478        33.921457653905804     
   10139.113857366799        56.626348625024846        34.526568190838205     
   10471.285480509006        57.030508801365400        35.148950184374037     
   10814.339512979375        57.441440146143769        35.788910517825038     
   11168.632477805611        57.859312076239959        36.446766091614180     
   11534.532578210930        58.284294973413580        37.122843961308376     
   11912.420080273761        58.716560224974778        37.817481480991546     
   12302.687708123811        59.156280241908568        38.531026454061113     
   12705.741052085419        59.603628453221042        39.263837293775453     
   13121.998990192042        60.058779275346190        40.016283196141927     
   13551.894123510378        60.521908055552736        40.788744328003794     
   13995.873225726178        60.993190988452405        41.581612033461660     
   14454.397707459280        61.472805004923892        42.395289062041186     
   14927.944095789975        61.960927633045756        43.230189822288267     
   15417.004529495583        62.457736830974738        44.086740664728666     
   15922.087270511700        62.963410792118502        44.965380198359213     
   16443.717232149324        63.478127723438767        45.866559645032353     
   16982.436524617460        64.002065598275280        46.790743236244552     
   17538.805018417603        64.535401885704673        47.738408656923397     
   18113.400926196027        65.078313259135271        48.710047540816689     
   18706.821403658018        65.630975287577357        49.706166022003316     
